"Year","Month","SOI"
1946,"Sep",-13.0953183695794
1946,"Oct",-9.91396983911598
1946,"Nov",-1.05222897131616
1946,"Dec",-5.33512970612438
1947,"Jan",-5.08851354097286
1947,"Feb",-4.29112127364721
1947,"Mar",10.5716129461889
1947,"Apr",-2.77032158854272
1947,"May",-8.57402200845649
1947,"Jun",1.60300507348896
1947,"Jul",7.11076609522014
1947,"Aug",5.52420209940791
1947,"Sep",9.59336882441841
1947,"Oct",-1.52902022394325
1947,"Nov",6.83948831355272
1947,"Dec",5.02274923026543
1948,"Jan",-3.11558421975522
1948,"Feb",-2.81142428273454
1948,"Mar",-3.7321246326362
1948,"Apr",1.66876938419641
1948,"May",2.27708925823829
1948,"Jun",-2.83608589925017
1948,"Jul",0.698745801264497
1948,"Aug",-3.35397984606922
1948,"Sep",-6.19006574531934
1948,"Oct",4.8830000700124
1948,"Nov",3.38686200142297
1948,"Dec",-5.33512970612494
1949,"Jan",-7.55467519249379
1949,"Feb",2.12089902030844
1949,"Mar",5.1460573128415
1949,"Apr",0.682304723587589
1949,"May",-3.64169870541351
1949,"Jun",-7.27517687198818
1949,"Jul",-1.27418351995258
1949,"Aug",-3.35397984606922
1949,"Sep",1.70165153955009
1949,"Oct",4.38976773970855
1949,"Nov",-4.50485528344591
1949,"Dec",7.48891088178691
1950,"Jan",5.26936539541751
1950,"Feb",18.3975659203506
1950,"Mar",15.9971685795363
1950,"Apr",10.0537189993691
1950,"May",4.74325090975978
1950,"Jun",16.3999749826179
1950,"Jul",15.9889480406973
1950,"Aug",9.47006074184263
1950,"Sep",5.64751018198425
1950,"Oct",13.7611820154901
1950,"Nov",9.30564996507421
1950,"Dec",22.2858807909159
1951,"Jan",17.1069413227211
1951,"Feb",10.0126163051773
1951,"Mar",-1.26596298111415
1951,"Apr",-0.79739226732508
1951,"May",-4.13493103571736
1951,"Jun",3.08270206440163
1951,"Jul",-6.20650682299556
1951,"Aug",-0.394585864243883
1951,"Sep",-5.69683341501437
1951,"Oct",-6.46134352698623
1951,"Nov",-2.53192596222883
1951,"Dec",-2.86896805460345
1952,"Jan",-9.52760451371143
1952,"Feb",-8.23697991608193
1952,"Mar",0.213734009798521
1952,"Apr",-5.23648324006365
1952,"May",3.75678624915152
1952,"Jun",4.56239905531486
1952,"Jul",2.67167512248158
1952,"Aug",-2.86074751576481
1952,"Sep",-2.73743943318904
1952,"Oct",1.43037375788265
1952,"Nov",-0.55899664101175
1952,"Dec",-12.240382330385
1953,"Jan",2.30997141359161
1953,"Feb",-6.26405059486429
1953,"Mar",-5.21182162354887
1953,"Apr",-0.30415993702067
1953,"May",-19.9183656054551
1953,"Jun",-1.35638890833694
1953,"Jul",-0.780951189648173
1953,"Aug",-13.2186264521552
